             Mean     Median    St.Dev.   95%CI_low  95%CI_upp
p       0.0264689 0.02625547 0.00354537 0.020018353 0.03380756
psi[1]  0.6693373 0.70963005 0.23334243 0.169809462 0.98649854
psi[2]  0.6699089 0.70802007 0.23487750 0.159488666 0.98877901
psi[3]  0.6698446 0.71283673 0.23485030 0.159120857 0.98463703
psi[4]  0.6776161 0.71692657 0.23499964 0.149758024 0.98794600
psi[5]  0.3631717 0.32079839 0.25053434 0.012815308 0.89703578
psi[6]  0.6575299 0.69918152 0.23800728 0.153257865 0.98681401
psi[7]  0.6684044 0.70243198 0.23502692 0.164369122 0.98892567
psi[8]  0.3463558 0.29508896 0.24909976 0.013930650 0.88288922
psi[9]  0.6610351 0.70009972 0.23792475 0.147204175 0.98638334
psi[10] 0.6660017 0.70806549 0.23242215 0.157218040 0.98374107
psi[11] 0.6578836 0.69501692 0.23598274 0.154336150 0.98714539
psi[12] 0.3500821 0.30540737 0.24256762 0.013956578 0.87910435
psi[13] 0.6589714 0.69923843 0.23494074 0.147420558 0.98714243
psi[14] 0.6651167 0.70298444 0.23846572 0.156078966 0.98688245
psi[15] 0.3683915 0.32867104 0.25490153 0.011797986 0.90334239
psi[16] 0.3770313 0.33420869 0.25994501 0.015286485 0.90906270
psi[17] 0.3874073 0.34702425 0.26758609 0.014533418 0.93683688
psi[18] 0.3645944 0.32454783 0.25538048 0.014699265 0.90907895
psi[19] 0.6681604 0.70506357 0.23203611 0.156640814 0.98650849
psi[20] 0.3553835 0.31064111 0.25800804 0.010943075 0.90726896
psi[21] 0.3605180 0.32485531 0.25465786 0.014477787 0.89753299
psi[22] 0.3926873 0.35202916 0.27059266 0.013725451 0.93773883
psi[23] 0.3552521 0.31194597 0.24762113 0.013024728 0.87659262
psi[24] 0.3431364 0.30845124 0.23991956 0.010120783 0.85546201
psi[25] 0.3371473 0.29123225 0.23990597 0.012047057 0.86022907
psi[26] 0.5017761 0.49479672 0.28978950 0.027508464 0.97932380
psi[27] 0.3411375 0.30041537 0.23910978 0.012782314 0.86541044
psi[28] 0.3412433 0.29629524 0.24748648 0.009164346 0.87763966
psi[29] 0.3879392 0.34281702 0.27011098 0.015341850 0.93493886
psi[30] 0.6727771 0.71313868 0.23174697 0.167979336 0.98606844
psi[31] 0.6678626 0.70876041 0.23672839 0.154179695 0.98709221
psi[32] 0.4040510 0.36577119 0.27167078 0.017956274 0.94088016
psi[33] 0.6670219 0.70776296 0.23435405 0.160464988 0.98595734
psi[34] 0.3854491 0.34035922 0.26389199 0.017220985 0.93300397
psi[35] 0.6573146 0.69300469 0.23746786 0.147107617 0.98753064
psi[36] 0.3819963 0.34578702 0.26440530 0.014697275 0.92899443
psi[37] 0.6702263 0.71629705 0.23491212 0.158773631 0.98403320
psi[38] 0.4154048 0.38591918 0.27696742 0.016574834 0.95050695
psi[39] 0.6745566 0.72078773 0.23467462 0.164559681 0.98705651
psi[40] 0.3938170 0.35623205 0.26770424 0.016174076 0.93269743
psi[41] 0.4049442 0.36461778 0.27600900 0.015378543 0.94840144
psi[42] 0.3513794 0.31339973 0.24542890 0.012451975 0.87652177
psi[43] 0.3848937 0.34205606 0.26290615 0.015020846 0.93023349
psi[44] 0.3659472 0.31972786 0.25938311 0.012483342 0.90928167
psi[45] 0.3723229 0.32518709 0.25556291 0.015215783 0.90957581
psi[46] 0.3755376 0.34035290 0.25915012 0.018049532 0.91809994
psi[47] 0.3458182 0.29406882 0.24994807 0.014811105 0.89169245
psi[48] 0.6711271 0.70772131 0.23312050 0.162995957 0.98663945
psi[49] 0.3787515 0.33575931 0.26143246 0.015285968 0.91837402
psi[50] 0.6653722 0.70534248 0.23885305 0.147843586 0.98395005
psi[51] 0.3778320 0.33896242 0.25794688 0.015180383 0.91518585
psi[52] 0.3795461 0.34219888 0.25758651 0.016325132 0.90585212
psi[53] 0.3803049 0.33784249 0.26010828 0.013793673 0.91976004
psi[54] 0.6753564 0.71685373 0.23512516 0.162817485 0.99029629
psi[55] 0.3705815 0.32225296 0.25493915 0.015669145 0.91521010
psi[56] 0.6694496 0.70731976 0.23528314 0.153851235 0.98635643
psi[57] 0.3498780 0.30743579 0.24808852 0.014100978 0.87666814
psi[58] 0.3729714 0.33644661 0.25793363 0.014075254 0.89942594
psi[59] 0.3879106 0.35034847 0.26722711 0.014646824 0.92436346
psi[60] 0.6673134 0.70770527 0.23529790 0.153700594 0.98826620
psi[61] 0.4152284 0.37394478 0.27804976 0.018014266 0.95224834
psi[62] 0.3497637 0.30729088 0.24680624 0.014961514 0.88817270
psi[63] 0.4010038 0.36026091 0.27115344 0.015312700 0.94145795
psi[64] 0.4404980 0.41670490 0.27986434 0.023136638 0.95929382
psi[65] 0.3835618 0.34295392 0.26627574 0.013284762 0.94068567
psi[66] 0.3857761 0.34662121 0.26473608 0.016092738 0.92894046
psi[67] 0.3435426 0.30131880 0.24451262 0.013113614 0.87788955
psi[68] 0.6658155 0.71251040 0.23810975 0.148821897 0.98842550
psi[69] 0.3749338 0.33454204 0.26452318 0.013444337 0.92088268
psi[70] 0.4898025 0.48254368 0.28624762 0.023909822 0.97071098
psi[71] 0.3927591 0.35289005 0.26921206 0.016152557 0.93515436
psi[72] 0.3468290 0.30447737 0.24241736 0.012911275 0.86993521
psi[73] 0.6759256 0.72146084 0.23726900 0.162628075 0.99047712
psi[74] 0.3446808 0.30169424 0.24369069 0.014606309 0.88673087
psi[75] 0.6721909 0.71637930 0.23689152 0.141664569 0.98536996
