                 Mean      Median    St.Dev.   95%CI_low   95%CI_upp
beta0      -3.6405241 -3.64049899 0.12792970 -3.89348866 -3.39387311
p[1]        0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[2]        0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[3]        0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[4]        0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[5]        0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[6]        0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[7]        0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[8]        0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[9]        0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[10]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[11]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[12]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[13]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[14]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[15]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[16]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[17]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[18]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[19]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[20]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[21]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[22]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[23]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[24]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[25]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[26]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[27]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[28]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[29]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[30]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[31]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[32]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[33]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[34]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[35]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[36]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[37]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[38]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[39]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[40]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[41]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[42]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[43]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[44]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[45]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[46]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[47]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[48]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[49]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[50]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[51]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[52]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[53]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[54]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[55]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[56]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[57]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[58]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[59]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[60]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[61]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[62]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[63]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[64]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[65]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[66]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[67]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[68]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[69]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[70]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[71]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[72]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[73]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[74]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
p[75]       0.0257612  0.02556835 0.00320773  0.01996733  0.03248749
psi[1, 1]   0.6654731  0.70813691 0.23637565  0.16581811  0.98748076
psi[2, 1]   0.4779610  0.47080139 0.28930047  0.02450642  0.96930766
psi[3, 1]   0.4713663  0.45596237 0.28482777  0.02532616  0.97452245
psi[4, 1]   0.4690857  0.45130343 0.28547731  0.02352686  0.97056497
psi[5, 1]   0.4643462  0.44724512 0.28517194  0.02333291  0.96893274
psi[6, 1]   0.6621726  0.69528855 0.23610505  0.14999114  0.98814763
psi[7, 1]   0.6705115  0.71372592 0.23452242  0.15332769  0.98354082
psi[8, 1]   0.4550553  0.43983905 0.28268273  0.01841538  0.95931799
psi[9, 1]   0.4439417  0.41540745 0.28438997  0.01878385  0.96159588
psi[10, 1]  0.6596918  0.69937871 0.23558484  0.15332633  0.98610252
psi[11, 1]  0.6701228  0.71257606 0.23766547  0.14822384  0.98577594
psi[12, 1]  0.4511403  0.43089852 0.28449717  0.02093319  0.96970583
psi[13, 1]  0.4479255  0.42722974 0.28588307  0.01480385  0.96287002
psi[14, 1]  0.4788177  0.46503922 0.29080242  0.01835274  0.97430787
psi[15, 1]  0.4670076  0.44832096 0.28557065  0.02396040  0.96931874
psi[16, 1]  0.4813630  0.47228593 0.28833903  0.01766777  0.97132379
psi[17, 1]  0.4707540  0.45648604 0.28813142  0.01691014  0.96919194
psi[18, 1]  0.4532660  0.42805013 0.28597800  0.01913225  0.96664306
psi[19, 1]  0.4403689  0.41583682 0.28199788  0.01861707  0.95816009
psi[20, 1]  0.4431241  0.42373727 0.28602473  0.01946218  0.96297556
psi[21, 1]  0.4613613  0.44776305 0.28716128  0.02245165  0.97300793
psi[22, 1]  0.4718227  0.45655968 0.28818582  0.01861458  0.96925014
psi[23, 1]  0.4430302  0.41707864 0.28673588  0.01847021  0.95892548
psi[24, 1]  0.4589729  0.43665067 0.28742582  0.01472029  0.96974372
psi[25, 1]  0.4458347  0.41125470 0.28167373  0.02370117  0.96314907
psi[26, 1]  0.5066221  0.50539062 0.29101089  0.02288700  0.97156849
psi[27, 1]  0.4447098  0.42325085 0.28841762  0.01814083  0.96571330
psi[28, 1]  0.4499848  0.42546316 0.28526264  0.02039346  0.96394834
psi[29, 1]  0.4662329  0.44725114 0.28719695  0.01761829  0.96627903
psi[30, 1]  0.4606889  0.44352914 0.28646409  0.02090565  0.97065592
psi[31, 1]  0.4665258  0.44801872 0.28733352  0.02442396  0.96814899
psi[32, 1]  0.4841769  0.48092736 0.28676098  0.02235584  0.96634920
psi[33, 1]  0.4828003  0.47755253 0.28520087  0.02108982  0.96743748
psi[34, 1]  0.4697801  0.45104750 0.28677879  0.01960947  0.97120351
psi[35, 1]  0.4941908  0.48613307 0.28957582  0.02350503  0.97691054
psi[36, 1]  0.4787173  0.46321449 0.28853764  0.02040127  0.97041306
psi[37, 1]  0.4839391  0.47055057 0.28508626  0.03029567  0.97023845
psi[38, 1]  0.4790668  0.47178189 0.28408714  0.02046801  0.97184353
psi[39, 1]  0.4450572  0.42352450 0.28398046  0.01992029  0.96258601
psi[40, 1]  0.4860589  0.48288371 0.29031969  0.02362753  0.97421790
psi[41, 1]  0.4711562  0.45485749 0.28780162  0.02106623  0.97735044
psi[42, 1]  0.4614687  0.44098812 0.28473055  0.02052930  0.96716936
psi[43, 1]  0.4752758  0.45702310 0.28598631  0.02177532  0.96799428
psi[44, 1]  0.4727497  0.45787889 0.28664153  0.02366733  0.96523131
psi[45, 1]  0.4612270  0.44489668 0.28300696  0.01863630  0.96631192
psi[46, 1]  0.4686744  0.45341025 0.28881438  0.02213832  0.97115040
